transaction_id,date,pharmacy_id,pharmacy_name,area,drug_name,category,quantity,unit_price_inr,total_inr,otc_or_rx
TXN000038,2025-07-02,PH006,Borivali Apollo Pharmacy,Borivali,ORS Sachets,Electrolyte,3,7.71,23.13,OTC
TXN000039,2025-07-02,PH003,Dadar MedPlus,Dadar,Amoxicillin 500mg,Antibiotic,2,45.1,90.2,Rx
TXN000040,2025-07-02,PH012,Worli Generic Aid,Worli,Amoxicillin 500mg,Antibiotic,1,48.04,48.04,Rx
TXN000041,2025-07-02,PH002,Bandra Apollo Pharmacy,Bandra,Insulin Glargine,Antidiabetic,4,447.61,1790.44,Rx
TXN000042,2025-07-02,PH009,Malad City Chemist,Malad,Amlodipine 5mg,Cardiovascular,2,26.98,53.96,Rx
TXN000043,2025-07-02,PH004,Powai MedPlus,Powai,Vitamin C 500mg,Supplement,5,26.74,133.7,OTC
TXN000044,2025-07-02,PH010,Vile Parle Generic Aid,Vile Parle,Levothyroxine 50mcg,Hormonal,2,30.49,60.98,Rx
TXN000045,2025-07-02,PH010,Vile Parle Generic Aid,Vile Parle,Glimepiride 2mg,Antidiabetic,2,37.29,74.58,Rx
TXN000046,2025-07-02,PH006,Borivali Apollo Pharmacy,Borivali,Montelukast 10mg,Antihistamine,4,152.83,611.32,Rx
TXN000047,2025-07-02,PH007,Thane City Chemist,Thane,Omeprazole 20mg,Gastrointestinal,2,18.78,37.56,OTC
TXN000048,2025-07-02,PH009,Malad City Chemist,Malad,Vitamin D3 60K,Supplement,2,31.98,63.96,OTC
TXN000049,2025-07-02,PH004,Powai MedPlus,Powai,Atorvastatin 10mg,Cardiovascular,3,41.48,124.44,Rx
TXN000050,2025-07-02,PH007,Thane City Chemist,Thane,Atorvastatin 10mg,Cardiovascular,3,38.46,115.38,Rx
TXN000051,2025-07-02,PH006,Borivali Apollo Pharmacy,Borivali,Sertraline 50mg,Neurological,1,61.14,61.14,Rx
TXN000052,2025-07-02,PH007,Thane City Chemist,Thane,Albuterol Inhaler,Respiratory,3,213.58,640.74,Rx
TXN000053,2025-07-02,PH008,Goregaon Apollo Pharmacy,Goregaon,Calamine Lotion,Personal Care,4,63.52,254.08,OTC
TXN000054,2025-07-02,PH010,Vile Parle Generic Aid,Vile Parle,Omeprazole 20mg,Gastrointestinal,1,19.52,19.52,OTC
TXN000055,2025-07-02,PH007,Thane City Chemist,Thane,Pantoprazole 40mg,Gastrointestinal,3,24.65,73.95,Rx
TXN000056,2025-07-02,PH001,Andheri MedPlus,Andheri,Aspirin 75mg,Analgesic,2,10.4,20.8,OTC
TXN000057,2025-07-02,PH003,Dadar MedPlus,Dadar,Multivitamin Tablets,Supplement,3,90.83,272.49,OTC
TXN000058,2025-07-02,PH001,Andheri MedPlus,Andheri,Cetirizine 10mg,Antihistamine,5,15.03,75.15,OTC
TXN000059,2025-07-02,PH004,Powai MedPlus,Powai,Amlodipine 5mg,Cardiovascular,2,24.41,48.82,Rx
TXN000060,2025-07-02,PH007,Thane City Chemist,Thane,Cetirizine 10mg,Antihistamine,5,15.48,77.4,OTC
TXN000061,2025-07-02,PH007,Thane City Chemist,Thane,Cetirizine 10mg,Antihistamine,5,15.29,76.45,OTC
TXN000062,2025-07-02,PH008,Goregaon Apollo Pharmacy,Goregaon,Paracetamol 500mg,Analgesic,2,13.01,26.02,OTC
TXN000063,2025-07-02,PH001,Andheri MedPlus,Andheri,Metformin 500mg,Antidiabetic,1,20.51,20.51,Rx
TXN000064,2025-07-02,PH002,Bandra Apollo Pharmacy,Bandra,Salbutamol Syrup,Respiratory,5,54.9,274.5,OTC
TXN000065,2025-07-02,PH001,Andheri MedPlus,Andheri,Salbutamol Syrup,Respiratory,2,58.85,117.7,OTC
TXN000066,2025-07-02,PH004,Powai MedPlus,Powai,Ciprofloxacin 500mg,Antibiotic,1,40.02,40.02,Rx
TXN000067,2025-07-02,PH010,Vile Parle Generic Aid,Vile Parle,Amoxicillin 500mg,Antibiotic,3,48.97,146.91,Rx
TXN000068,2025-07-02,PH008,Goregaon Apollo Pharmacy,Goregaon,Sertraline 50mg,Neurological,5,57.02,285.1,Rx
TXN000069,2025-07-02,PH004,Powai MedPlus,Powai,Amlodipine 5mg,Cardiovascular,4,26.77,107.08,Rx
TXN000070,2025-07-02,PH006,Borivali Apollo Pharmacy,Borivali,Azithromycin 500mg,Antibiotic,1,88.37,88.37,Rx
TXN000071,2025-07-02,PH012,Worli Generic Aid,Worli,Levothyroxine 50mcg,Hormonal,4,27.48,109.92,Rx
TXN000072,2025-07-02,PH003,Dadar MedPlus,Dadar,Montelukast 10mg,Antihistamine,2,159.6,319.2,Rx
TXN000073,2025-07-02,PH001,Andheri MedPlus,Andheri,Calamine Lotion,Personal Care,2,69.04,138.08,OTC
TXN000074,2025-07-02,PH011,Kurla MedPlus,Kurla,Calamine Lotion,Personal Care,3,64.21,192.63,OTC
TXN000075,2025-07-02,PH007,Thane City Chemist,Thane,Levothyroxine 50mcg,Hormonal,3,30.36,91.08,Rx
TXN000076,2025-07-02,PH010,Vile Parle Generic Aid,Vile Parle,Levothyroxine 50mcg,Hormonal,3,28.83,86.49,Rx
TXN000077,2025-07-02,PH004,Powai MedPlus,Powai,Diclofenac 50mg,Analgesic,5,23.76,118.8,Rx
TXN000078,2025-07-02,PH005,Chembur MedPlus,Chembur,Multivitamin Tablets,Supplement,3,95.91,287.73,OTC
TXN000079,2025-07-02,PH002,Bandra Apollo Pharmacy,Bandra,Vitamin D3 60K,Supplement,1,33.94,33.94,OTC
TXN000080,2025-07-02,PH001,Andheri MedPlus,Andheri,Metformin 500mg,Antidiabetic,4,19.06,76.24,Rx
TXN000081,2025-07-02,PH011,Kurla MedPlus,Kurla,Metformin 500mg,Antidiabetic,1,21.52,21.52,Rx
TXN000082,2025-07-02,PH011,Kurla MedPlus,Kurla,Loratadine 10mg,Antihistamine,2,28.85,57.7,OTC
TXN000083,2025-07-02,PH007,Thane City Chemist,Thane,Vitamin C 500mg,Supplement,1,27.09,27.09,OTC
TXN000084,2025-07-02,PH007,Thane City Chemist,Thane,Metformin 500mg,Antidiabetic,4,20.42,81.68,Rx
TXN000085,2025-07-03,PH008,Goregaon Apollo Pharmacy,Goregaon,Levothyroxine 50mcg,Hormonal,2,26.97,53.94,Rx
TXN000086,2025-07-03,PH003,Dadar MedPlus,Dadar,Albuterol Inhaler,Respiratory,2,227.41,454.82,Rx
TXN000087,2025-07-03,PH011,Kurla MedPlus,Kurla,Cetirizine 10mg,Antihistamine,1,15.52,15.52,OTC
TXN000088,2025-07-03,PH009,Malad City Chemist,Malad,Salbutamol Syrup,Respiratory,2,54.59,109.18,OTC
TXN000089,2025-07-03,PH007,Thane City Chemist,Thane,Vitamin C 500mg,Supplement,4,26.17,104.68,OTC
TXN000090,2025-07-03,PH005,Chembur MedPlus,Chembur,Loratadine 10mg,Antihistamine,2,27.63,55.26,OTC
TXN000091,2025-07-03,PH002,Bandra Apollo Pharmacy,Bandra,Cetirizine 10mg,Antihistamine,3,16.47,49.41,OTC
TXN000092,2025-07-03,PH004,Powai MedPlus,Powai,Salbutamol Syrup,Respiratory,5,59.95,299.75,OTC
TXN000093,2025-07-03,PH010,Vile Parle Generic Aid,Vile Parle,Sertraline 50mg,Neurological,5,57.92,289.6,Rx
TXN000094,2025-07-03,PH001,Andheri MedPlus,Andheri,Atorvastatin 10mg,Cardiovascular,4,43.1,172.4,Rx
TXN000095,2025-07-03,PH003,Dadar MedPlus,Dadar,Atorvastatin 10mg,Cardiovascular,1,38.48,38.48,Rx
TXN000096,2025-07-03,PH005,Chembur MedPlus,Chembur,Loratadine 10mg,Antihistamine,3,26.68,80.04,OTC
TXN000097,2025-07-03,PH010,Vile Parle Generic Aid,Vile Parle,Levothyroxine 50mcg,Hormonal,5,30.73,153.65,Rx
TXN000098,2025-07-03,PH009,Malad City Chemist,Malad,Paracetamol 500mg,Analgesic,2,12.44,24.88,OTC
TXN000099,2025-07-03,PH004,Powai MedPlus,Powai,Aspirin 75mg,Analgesic,3,10.8,32.4,OTC
TXN000100,2025-07-03,PH007,Thane City Chemist,Thane,Atorvastatin 10mg,Cardiovascular,1,40.94,40.94,Rx
TXN000101,2025-07-03,PH004,Powai MedPlus,Powai,Levothyroxine 50mcg,Hormonal,3,30.05,90.15,Rx
TXN000102,2025-07-03,PH012,Worli Generic Aid,Worli,Atorvastatin 10mg,Cardiovascular,2,41.34,82.68,Rx
TXN000103,2025-07-03,PH001,Andheri MedPlus,Andheri,Aspirin 75mg,Analgesic,2,9.92,19.84,OTC
TXN000104,2025-07-03,PH007,Thane City Chemist,Thane,Levothyroxine 50mcg,Hormonal,4,27.46,109.84,Rx
TXN000105,2025-07-03,PH011,Kurla MedPlus,Kurla,Pantoprazole 40mg,Gastrointestinal,2,23.97,47.94,Rx
TXN000106,2025-07-03,PH009,Malad City Chemist,Malad,Losartan 50mg,Cardiovascular,3,31.36,94.08,Rx
TXN000107,2025-07-03,PH012,Worli Generic Aid,Worli,Omeprazole 20mg,Gastrointestinal,4,17.75,71.0,OTC
TXN000108,2025-07-03,PH012,Worli Generic Aid,Worli,Amlodipine 5mg,Cardiovascular,1,26.04,26.04,Rx
TXN000109,2025-07-03,PH005,Chembur MedPlus,Chembur,Doxycycline 100mg,Antibiotic,5,30.78,153.9,Rx
TXN000110,2025-07-03,PH004,Powai MedPlus,Powai,Loratadine 10mg,Antihistamine,4,27.95,111.8,OTC
TXN000111,2025-07-03,PH009,Malad City Chemist,Malad,Salbutamol Syrup,Respiratory,3,52.68,158.04,OTC
TXN000112,2025-07-03,PH004,Powai MedPlus,Powai,Ciprofloxacin 500mg,Antibiotic,2,38.69,77.38,Rx
TXN000113,2025-07-03,PH005,Chembur MedPlus,Chembur,Albuterol Inhaler,Respiratory,5,211.09,1055.45,Rx
TXN000114,2025-07-03,PH009,Malad City Chemist,Malad,Ranitidine 150mg,Gastrointestinal,4,13.72,54.88,OTC
TXN000115,2025-07-03,PH002,Bandra Apollo Pharmacy,Bandra,Vitamin C 500mg,Supplement,2,24.08,48.16,OTC
TXN000116,2025-07-03,PH004,Powai MedPlus,Powai,Metformin 500mg,Antidiabetic,5,19.01,95.05,Rx
TXN000117,2025-07-04,PH001,Andheri MedPlus,Andheri,Levothyroxine 50mcg,Hormonal,3,28.07,84.21,Rx
TXN000118,2025-07-04,PH005,Chembur MedPlus,Chembur,Ibuprofen 400mg,Analgesic,1,19.4,19.4,OTC
TXN000119,2025-07-04,PH009,Malad City Chemist,Malad,Montelukast 10mg,Antihistamine,4,164.21,656.84,Rx
TXN000120,2025-07-04,PH003,Dadar MedPlus,Dadar,Gabapentin 300mg,Neurological,5,138.81,694.05,Rx
TXN000121,2025-07-04,PH008,Goregaon Apollo Pharmacy,Goregaon,Diclofenac 50mg,Analgesic,1,21.58,21.58,Rx
TXN000122,2025-07-04,PH010,Vile Parle Generic Aid,Vile Parle,Montelukast 10mg,Antihistamine,3,144.0,432.0,Rx
TXN000123,2025-07-04,PH008,Goregaon Apollo Pharmacy,Goregaon,Loratadine 10mg,Antihistamine,4,30.14,120.56,OTC
TXN000124,2025-07-04,PH001,Andheri MedPlus,Andheri,Cetirizine 10mg,Antihistamine,3,16.04,48.12,OTC
TXN000125,2025-07-04,PH008,Goregaon Apollo Pharmacy,Goregaon,Diclofenac 50mg,Analgesic,4,21.44,85.76,Rx
TXN000126,2025-07-04,PH007,Thane City Chemist,Thane,Atorvastatin 10mg,Cardiovascular,5,39.12,195.6,Rx
TXN000127,2025-07-04,PH011,Kurla MedPlus,Kurla,Sertraline 50mg,Neurological,3,62.99,188.97,Rx
TXN000128,2025-07-04,PH003,Dadar MedPlus,Dadar,Vitamin D3 60K,Supplement,2,34.76,69.52,OTC
TXN000129,2025-07-04,PH005,Chembur MedPlus,Chembur,Aspirin 75mg,Analgesic,1,10.82,10.82,OTC
TXN000130,2025-07-04,PH002,Bandra Apollo Pharmacy,Bandra,Omeprazole 20mg,Gastrointestinal,1,18.94,18.94,OTC
TXN000131,2025-07-04,PH010,Vile Parle Generic Aid,Vile Parle,Ranitidine 150mg,Gastrointestinal,3,14.61,43.83,OTC
TXN000132,2025-07-04,PH004,Powai MedPlus,Powai,Salbutamol Syrup,Respiratory,1,58.42,58.42,OTC
TXN000133,2025-07-04,PH008,Goregaon Apollo Pharmacy,Goregaon,Calamine Lotion,Personal Care,1,64.01,64.01,OTC
TXN000134,2025-07-04,PH010,Vile Parle Generic Aid,Vile Parle,Insulin Glargine,Antidiabetic,1,453.93,453.93,Rx
TXN000135,2025-07-04,PH010,Vile Parle Generic Aid,Vile Parle,Ibuprofen 400mg,Analgesic,2,18.57,37.14,OTC
TXN000136,2025-07-04,PH012,Worli Generic Aid,Worli,Diclofenac 50mg,Analgesic,3,22.69,68.07,Rx
TXN000137,2025-07-04,PH004,Powai MedPlus,Powai,Gabapentin 300mg,Neurological,3,136.78,410.34,Rx
TXN000138,2025-07-04,PH011,Kurla MedPlus,Kurla,Aspirin 75mg,Analgesic,2,9.71,19.42,OTC
TXN000139,2025-07-04,PH003,Dadar MedPlus,Dadar,Omeprazole 20mg,Gastrointestinal,5,18.44,92.2,OTC
TXN000140,2025-07-04,PH001,Andheri MedPlus,Andheri,Insulin Glargine,Antidiabetic,3,480.73,1442.19,Rx
TXN000141,2025-07-04,PH010,Vile Parle Generic Aid,Vile Parle,Atorvastatin 10mg,Cardiovascular,1,39.87,39.87,Rx
TXN000142,2025-07-04,PH004,Powai MedPlus,Powai,Montelukast 10mg,Antihistamine,5,160.02,800.1,Rx
TXN000143,2025-07-04,PH012,Worli Generic Aid,Worli,Multivitamin Tablets,Supplement,1,90.73,90.73,OTC
TXN000144,2025-07-05,PH011,Kurla MedPlus,Kurla,Doxycycline 100mg,Antibiotic,3,31.9,95.7,Rx
TXN000145,2025-07-05,PH011,Kurla MedPlus,Kurla,Pantoprazole 40mg,Gastrointestinal,5,23.2,116.0,Rx
TXN000146,2025-07-05,PH004,Powai MedPlus,Powai,Insulin Glargine,Antidiabetic,4,458.35,1833.4,Rx
TXN000147,2025-07-05,PH004,Powai MedPlus,Powai,Gabapentin 300mg,Neurological,4,132.26,529.04,Rx
TXN000148,2025-07-05,PH005,Chembur MedPlus,Chembur,Vitamin C 500mg,Supplement,5,25.77,128.85,OTC
TXN000149,2025-07-05,PH001,Andheri MedPlus,Andheri,Azithromycin 500mg,Antibiotic,5,83.67,418.35,Rx
TXN000150,2025-07-05,PH010,Vile Parle Generic Aid,Vile Parle,Albuterol Inhaler,Respiratory,4,234.47,937.88,Rx
TXN000151,2025-07-05,PH005,Chembur MedPlus,Chembur,Amlodipine 5mg,Cardiovascular,3,26.15,78.45,Rx
TXN000152,2025-07-05,PH012,Worli Generic Aid,Worli,Montelukast 10mg,Antihistamine,3,155.22,465.66,Rx
TXN000153,2025-07-05,PH005,Chembur MedPlus,Chembur,Losartan 50mg,Cardiovascular,2,31.61,63.22,Rx
TXN000154,2025-07-05,PH008,Goregaon Apollo Pharmacy,Goregaon,Aspirin 75mg,Analgesic,5,10.74,53.7,OTC
TXN000155,2025-07-05,PH007,Thane City Chemist,Thane,Albuterol Inhaler,Respiratory,2,220.3,440.6,Rx
TXN000156,2025-07-05,PH005,Chembur MedPlus,Chembur,Paracetamol 500mg,Analgesic,2,13.11,26.22,OTC
TXN000157,2025-07-05,PH011,Kurla MedPlus,Kurla,Vitamin C 500mg,Supplement,4,27.17,108.68,OTC
TXN000158,2025-07-05,PH010,Vile Parle Generic Aid,Vile Parle,Paracetamol 500mg,Analgesic,2,12.5,25.0,OTC
TXN000159,2025-07-05,PH011,Kurla MedPlus,Kurla,Vitamin C 500mg,Supplement,4,25.97,103.88,OTC
TXN000160,2025-07-05,PH001,Andheri MedPlus,Andheri,Salbutamol Syrup,Respiratory,4,56.91,227.64,OTC
TXN000161,2025-07-05,PH008,Goregaon Apollo Pharmacy,Goregaon,Losartan 50mg,Cardiovascular,4,34.19,136.76,Rx
TXN000162,2025-07-05,PH005,Chembur MedPlus,Chembur,Azithromycin 500mg,Antibiotic,5,89.77,448.85,Rx
TXN000163,2025-07-05,PH007,Thane City Chemist,Thane,Gabapentin 300mg,Neurological,2,139.6,279.2,Rx
TXN000164,2025-07-05,PH002,Bandra Apollo Pharmacy,Bandra,Atorvastatin 10mg,Cardiovascular,2,38.41,76.82,Rx
TXN000165,2025-07-05,PH006,Borivali Apollo Pharmacy,Borivali,Loratadine 10mg,Antihistamine,3,29.69,89.07,OTC
TXN000166,2025-07-05,PH003,Dadar MedPlus,Dadar,Loratadine 10mg,Antihistamine,1,30.49,30.49,OTC
TXN000167,2025-07-05,PH008,Goregaon Apollo Pharmacy,Goregaon,Montelukast 10mg,Antihistamine,1,145.05,145.05,Rx
TXN000168,2025-07-05,PH007,Thane City Chemist,Thane,Vitamin C 500mg,Supplement,5,24.37,121.85,OTC
TXN000169,2025-07-05,PH001,Andheri MedPlus,Andheri,Amlodipine 5mg,Cardiovascular,4,24.22,96.88,Rx
TXN000170,2025-07-05,PH005,Chembur MedPlus,Chembur,Loratadine 10mg,Antihistamine,1,28.0,28.0,OTC
TXN000171,2025-07-05,PH007,Thane City Chemist,Thane,Multivitamin Tablets,Supplement,3,98.68,296.04,OTC
TXN000172,2025-07-05,PH001,Andheri MedPlus,Andheri,Sertraline 50mg,Neurological,5,60.41,302.05,Rx
TXN000173,2025-07-05,PH008,Goregaon Apollo Pharmacy,Goregaon,Insulin Glargine,Antidiabetic,5,450.13,2250.65,Rx
TXN000174,2025-07-05,PH009,Malad City Chemist,Malad,Metformin 500mg,Antidiabetic,4,21.36,85.44,Rx
TXN000175,2025-07-05,PH008,Goregaon Apollo Pharmacy,Goregaon,Gabapentin 300mg,Neurological,2,131.0,262.0,Rx
TXN000176,2025-07-05,PH001,Andheri MedPlus,Andheri,Ciprofloxacin 500mg,Antibiotic,4,39.16,156.64,Rx
TXN000177,2025-07-05,PH003,Dadar MedPlus,Dadar,Calamine Lotion,Personal Care,3,70.75,212.25,OTC
TXN000178,2025-07-05,PH012,Worli Generic Aid,Worli,Atorvastatin 10mg,Cardiovascular,2,40.89,81.78,Rx
TXN000179,2025-07-05,PH011,Kurla MedPlus,Kurla,Ranitidine 150mg,Gastrointestinal,3,14.25,42.75,OTC
TXN000180,2025-07-06,PH012,Worli Generic Aid,Worli,Azithromycin 500mg,Antibiotic,3,83.91,251.73,Rx
TXN000181,2025-07-06,PH001,Andheri MedPlus,Andheri,Omeprazole 20mg,Gastrointestinal,1,18.45,18.45,OTC
TXN000182,2025-07-06,PH004,Powai MedPlus,Powai,Vitamin C 500mg,Supplement,5,27.18,135.9,OTC
TXN000183,2025-07-06,PH008,Goregaon Apollo Pharmacy,Goregaon,Diclofenac 50mg,Analgesic,1,23.48,23.48,Rx
TXN000184,2025-07-06,PH003,Dadar MedPlus,Dadar,Atorvastatin 10mg,Cardiovascular,3,41.79,125.37,Rx
TXN000185,2025-07-06,PH005,Chembur MedPlus,Chembur,Losartan 50mg,Cardiovascular,4,31.42,125.68,Rx
TXN000186,2025-07-06,PH007,Thane City Chemist,Thane,Vitamin C 500mg,Supplement,1,24.42,24.42,OTC
TXN000187,2025-07-06,PH008,Goregaon Apollo Pharmacy,Goregaon,Doxycycline 100mg,Antibiotic,4,30.57,122.28,Rx
TXN000188,2025-07-06,PH003,Dadar MedPlus,Dadar,Glimepiride 2mg,Antidiabetic,4,35.43,141.72,Rx
TXN000189,2025-07-06,PH010,Vile Parle Generic Aid,Vile Parle,Losartan 50mg,Cardiovascular,4,32.97,131.88,Rx
TXN000190,2025-07-06,PH003,Dadar MedPlus,Dadar,Multivitamin Tablets,Supplement,1,94.52,94.52,OTC
TXN000191,2025-07-06,PH007,Thane City Chemist,Thane,Loratadine 10mg,Antihistamine,5,28.27,141.35,OTC
TXN000192,2025-07-06,PH009,Malad City Chemist,Malad,Cetirizine 10mg,Antihistamine,3,14.72,44.16,OTC
TXN000193,2025-07-06,PH005,Chembur MedPlus,Chembur,Albuterol Inhaler,Respiratory,3,220.53,661.59,Rx
TXN000194,2025-07-06,PH010,Vile Parle Generic Aid,Vile Parle,Pantoprazole 40mg,Gastrointestinal,5,25.05,125.25,Rx
TXN000195,2025-07-06,PH008,Goregaon Apollo Pharmacy,Goregaon,Multivitamin Tablets,Supplement,5,96.98,484.9,OTC
TXN000196,2025-07-06,PH009,Malad City Chemist,Malad,Atorvastatin 10mg,Cardiovascular,3,38.39,115.17,Rx
TXN000197,2025-07-06,PH009,Malad City Chemist,Malad,Salbutamol Syrup,Respiratory,3,55.99,167.97,OTC
TXN000198,2025-07-06,PH008,Goregaon Apollo Pharmacy,Goregaon,Calamine Lotion,Personal Care,2,66.96,133.92,OTC
TXN000199,2025-07-06,PH004,Powai MedPlus,Powai,Levothyroxine 50mcg,Hormonal,1,28.28,28.28,Rx
TXN000200,2025-07-06,PH007,Thane City Chemist,Thane,Doxycycline 100mg,Antibiotic,3,29.2,87.6,Rx
TXN000201,2025-07-06,PH007,Thane City Chemist,Thane,Ibuprofen 400mg,Analgesic,1,18.0,18.0,OTC
TXN000202,2025-07-06,PH008,Goregaon Apollo Pharmacy,Goregaon,Levothyroxine 50mcg,Hormonal,3,28.17,84.51,Rx
TXN000203,2025-07-06,PH007,Thane City Chemist,Thane,Glimepiride 2mg,Antidiabetic,2,37.96,75.92,Rx
TXN000204,2025-07-06,PH011,Kurla MedPlus,Kurla,Amoxicillin 500mg,Antibiotic,2,45.51,91.02,Rx
TXN000205,2025-07-06,PH001,Andheri MedPlus,Andheri,Amoxicillin 500mg,Antibiotic,4,48.42,193.68,Rx
TXN000206,2025-07-06,PH010,Vile Parle Generic Aid,Vile Parle,Loratadine 10mg,Antihistamine,5,28.31,141.55,OTC
TXN000207,2025-07-06,PH008,Goregaon Apollo Pharmacy,Goregaon,Diclofenac 50mg,Analgesic,1,21.63,21.63,Rx
TXN000208,2025-07-06,PH008,Goregaon Apollo Pharmacy,Goregaon,Paracetamol 500mg,Analgesic,3,12.31,36.93,OTC
TXN000209,2025-07-06,PH007,Thane City Chemist,Thane,Multivitamin Tablets,Supplement,1,101.65,101.65,OTC
TXN000210,2025-07-07,PH003,Dadar MedPlus,Dadar,Aspirin 75mg,Analgesic,2,10.71,21.42,OTC
TXN000211,2025-07-07,PH005,Chembur MedPlus,Chembur,Loratadine 10mg,Antihistamine,3,30.64,91.92,OTC
TXN000212,2025-07-07,PH007,Thane City Chemist,Thane,Gabapentin 300mg,Neurological,4,137.58,550.32,Rx
TXN000213,2025-07-07,PH006,Borivali Apollo Pharmacy,Borivali,Multivitamin Tablets,Supplement,5,96.04,480.2,OTC
TXN000214,2025-07-07,PH009,Malad City Chemist,Malad,Glimepiride 2mg,Antidiabetic,2,33.32,66.64,Rx
TXN000215,2025-07-07,PH011,Kurla MedPlus,Kurla,Levothyroxine 50mcg,Hormonal,1,27.47,27.47,Rx
