pharmacy_id,pharmacy_name,drug_name,category,manufacturer,unit_price_inr,stock_qty,otc_or_rx
PH001,Andheri MedPlus,Mobicure MR 100mg/325mg/250mg Tablet,Analgesic,Celcure Pharmaceuticals,17.62,53,OTC
PH001,Andheri MedPlus,Aceford SP 100mg/325mg/15mg Tablet,Analgesic,Crossford Healthcare,7.72,145,OTC
PH001,Andheri MedPlus,Napuse 250mg/10mg Tablet,Analgesic,Events Pharma,4.92,161,OTC
PH001,Andheri MedPlus,Acejeev-P 100mg/325mg Tablet,Analgesic,Jeevecam Lifescience Pvt Ltd,3.5,227,OTC
PH001,Andheri MedPlus,Aceplas P 100mg/500mg Tablet,Analgesic,Plasmid Healthcare Pvt Ltd,3.25,47,OTC
PH001,Andheri MedPlus,Flagapar Infusion,Analgesic,Flagship Biotech International,5.08,205,OTC
PH001,Andheri MedPlus,PAINE 50MG CAPSULE,Analgesic,Pharma Drugs & Chemicals,5.3,248,OTC
PH001,Andheri MedPlus,Fliclo-S Tablet,Analgesic,Flanca Life Sciences,6.27,212,OTC
PH001,Andheri MedPlus,Diclocas 75mg Injection,Analgesic,Casca Remedies Pvt Ltd,14.96,81,Rx
PH001,Andheri MedPlus,Clopogril-AS Tablet,Analgesic,Care Formulation Labs Pvt Ltd,5.12,23,OTC
PH001,Andheri MedPlus,Fepanil 120mg/5ml Syrup,Analgesic,Veritaz Healthcare Ltd,0.65,187,OTC
PH001,Andheri MedPlus,Papol T 325mg/37.5mg Tablet,Analgesic,Notus Pharmaceuticals Pvt Ltd,7.25,40,OTC
PH001,Andheri MedPlus,Spade AP 100mg/325mg/15mg Tablet,Analgesic,Med Manor Organics Pvt Ltd,7.74,44,OTC
PH001,Andheri MedPlus,Aci-SP 100mg/500mg/15mg Tablet,Analgesic,Polard Healthcare,5.51,70,OTC
PH001,Andheri MedPlus,NAC SR 150 Tablet,Analgesic,Systopic Laboratories Pvt Ltd,5.93,128,OTC
PH001,Andheri MedPlus,Aspo 75 Tablet,Analgesic,Zeelab Pharmacy Pvt Ltd,0.58,215,OTC
PH001,Andheri MedPlus,Aclotec Plus 100 mg/500 mg Tablet,Analgesic,Targof Pure Drugs Td,2.47,242,OTC
PH001,Andheri MedPlus,Fenzec 75mg Injection,Analgesic,M.M Pharma,16.15,162,Rx
PH001,Andheri MedPlus,Nam Safe Plus Syrup,Analgesic,Lincoln Pharmaceuticals Ltd,0.71,122,OTC
PH001,Andheri MedPlus,Ceftromez 250mg Injection,Antibiotic,Sovicare Pharmaceuticals,26.64,230,Rx
PH001,Andheri MedPlus,Fusy CV 500mg/125mg Tablet,Antibiotic,Biosys Medisciences,79.71,27,Rx
PH001,Andheri MedPlus,Voxquin OZ 250mg/500mg Tablet,Antibiotic,Werke Healthcare,9.48,71,Rx
PH001,Andheri MedPlus,Azibey 500mg Tablet,Antibiotic,Abbey Health Care Pvt Ltd,16.92,32,Rx
PH001,Andheri MedPlus,Kleen Gel,Antibiotic,Syswin Pharmaceuticals Pvt Ltd,6.87,150,Rx
PH001,Andheri MedPlus,Levohex 500mg Tablet,Antibiotic,Hexal Pharmaceuticals,8.54,36,Rx
PH001,Andheri MedPlus,Omeflox Eye Drop,Antibiotic,Entod Pharmaceuticals Ltd,9.95,103,Rx
PH001,Andheri MedPlus,Wiz LB 100mg Tablet DT,Antibiotic,Cure Kelvin,7.75,34,Rx
PH001,Andheri MedPlus,Ozzymycin 500mg Tablet,Antibiotic,Henry Pharmaceuticals,25.45,100,Rx
PH001,Andheri MedPlus,Aglocin 500mg Tablet,Antibiotic,Egis Healthcare,4.57,130,Rx
PH001,Andheri MedPlus,Metoni O Oral Suspension,Antibiotic,Seepi Pharma Pvt Ltd,1.42,217,Rx
PH001,Andheri MedPlus,Polyclav-DS Tablet,Antibiotic,Macleods Pharmaceuticals Pvt Ltd,16.78,141,Rx
PH001,Andheri MedPlus,Cefixwell OF Dry Syrup,Antibiotic,Everwell Pharma Pvt Ltd,2.73,136,Rx
PH001,Andheri MedPlus,Cipromid TZ 300 Tablet,Antibiotic,Midas Healthcare Ltd,6.68,89,Rx
PH001,Andheri MedPlus,Ofloxemm-OZ Tablet,Antibiotic,Ess Emm Pharma Pvt Ltd,7.07,204,Rx
PH001,Andheri MedPlus,Auglex 500mg/125mg Tablet,Antibiotic,Unilex Lifesciences Pvt Ltd,17.87,95,Rx
PH001,Andheri MedPlus,Popucef 500mg Tablet,Antibiotic,GK Medicos,48.19,51,Rx
PH001,Andheri MedPlus,Ofbid OZ Tablet,Antibiotic,Aarpik Pharmaceuticals Pvt Ltd,7.81,131,Rx
PH001,Andheri MedPlus,Levotran 500mg Tablet,Antibiotic,Evershine Lifesciences Pvt Ltd,7.66,150,Rx
PH001,Andheri MedPlus,Raniflox OZ 200mg/500mg Tablet,Antibiotic,Renvic Lifesciences Pvt Ltd,8.2,142,Rx
PH001,Andheri MedPlus,Amocrin-CV Dry Syrup,Antibiotic,Crinova Healthcare,2.15,35,Rx
PH001,Andheri MedPlus,Sanzone 1000mg Injection,Antibiotic,Mediwill Life Sciences,54.46,70,Rx
PH001,Andheri MedPlus,Off N ON Suspension,Antibiotic,Medisys Biotech Pvt Ltd,1.33,85,Rx
PH001,Andheri MedPlus,Ayubact 250mg Tablet,Antibiotic,Bioethics Lifesciences Pvt Ltd,11.76,169,Rx
PH001,Andheri MedPlus,Elicef 100mg Tablet DT,Antibiotic,GRAF Laboratories Pvt Ltd,12.62,184,Rx
PH001,Andheri MedPlus,Cefag LB 200mg Tablet,Antibiotic,Agron Remedies Pvt Ltd,18.53,27,Rx
PH001,Andheri MedPlus,Azymake 500mg Tablet,Antibiotic,Ashlife Healthcare,20.59,43,Rx
PH001,Andheri MedPlus,Ofone 200mg Tablet,Antibiotic,Encyclo Healthcare,5.12,189,Rx
PH001,Andheri MedPlus,I Tone 2000mg Injection,Antibiotic,Sanjivani Parenteral Ltd,119.01,249,Rx
PH001,Andheri MedPlus,StayHappi Amoxycillin+Pantoprazole+Clarithromycin 750mg/40mg/500mg Kit,Antibiotic,Sarvagunaushdhi Pvt Ltd,83.75,216,Rx
PH001,Andheri MedPlus,Cefimun 250mg Tablet,Antibiotic,Intellect Lifescience,19.27,224,Rx
PH001,Andheri MedPlus,Ticocef S 250mg/125mg Injection,Antibiotic,Vistica Life Sciences,42.59,26,Rx
PH001,Andheri MedPlus,Moxidas-CV  Dry Syrup,Antibiotic,Midas Healthcare Ltd,1.68,115,Rx
PH001,Andheri MedPlus,Lombard 250mg Tablet,Antibiotic,Vsaar Pharma Pvt Ltd,4.84,2,Rx
PH001,Andheri MedPlus,Cetriken 10mg Tablet,Antihistamine,Symbiosis Pharmaceuticals Pvt Ltd,1.67,199,OTC
PH001,Andheri MedPlus,Leezet-ML Kid 2.5mg/4mg Tablet,Antihistamine,Floreat Medica Pvt Ltd,4.03,61,OTC
PH001,Andheri MedPlus,Skylor 10 Tablet,Antihistamine,Rishab Healthcare pvt. Ltd.,3.73,50,OTC
PH001,Andheri MedPlus,LM Kid Syrup,Antihistamine,Rozer Pharmaceuticals Pvt Ltd,1.29,151,OTC
PH001,Andheri MedPlus,L 5mg Tablet,Antihistamine,Solitaire Pharmacia Pvt Ltd,2.26,117,OTC
PH001,Andheri MedPlus,Cetafed Tablet,Antihistamine,Oasis Remedies,2.39,215,OTC
PH001,Andheri MedPlus,Lvcys M Tablet,Antihistamine,Macsys LifeSciences,6.45,112,OTC
PH001,Andheri MedPlus,Rid-AR Kid Syrup,Antihistamine,Cipla Ltd,2.05,185,OTC
PH001,Andheri MedPlus,Livazin Tablet,Antihistamine,Varmed Pharma Pvt Ltd,4.33,38,OTC
PH001,Andheri MedPlus,Alerdain 5mg Tablet,Antihistamine,Ordain Health Care Global Pvt Ltd,4.1,112,OTC
PH001,Andheri MedPlus,Montigrace-L Tablet,Antihistamine,Gracevera Pharma,10.31,183,OTC
PH001,Andheri MedPlus,Livozy 10mg Tablet,Antihistamine,Eraas International,5.0,112,OTC
PH001,Andheri MedPlus,Lorzar 10mg Tablet,Antihistamine,Ellederma Pharma Pvt Ltd,5.15,219,OTC
PH001,Andheri MedPlus,Monteshot L 5mg/10mg Tablet,Antihistamine,Vats Biotech Pvt Ltd,9.77,228,OTC
PH001,Andheri MedPlus,Swlev 10mg Tablet,Antihistamine,Swakam Biotech Private Limited,6.41,128,OTC
PH001,Andheri MedPlus,Lemra AM 5mg/60mg Tablet,Antihistamine,Garwyn Remedies,4.8,129,OTC
PH001,Andheri MedPlus,Medocet 5mg Tablet,Antihistamine,Candela Healthcare,4.03,217,OTC
PH001,Andheri MedPlus,Nozee Tablet,Antihistamine,Dabur India Ltd,3.68,159,OTC
PH001,Andheri MedPlus,Cocoryl 2mg/10mg Tablet,Antihistamine,Taj Pharma India Ltd,4.4,182,OTC
PH001,Andheri MedPlus,Coldhit Oral Suspension,Antihistamine,Plena Remedies,1.0,122,OTC
PH001,Andheri MedPlus,Cetnix MT Tablet,Antihistamine,Biochemix Health Care Pvt. Ltd.,9.13,37,OTC
PH001,Andheri MedPlus,Fexodive 180mg Tablet,Antihistamine,Staneil Pharma,12.9,115,OTC
PH001,Andheri MedPlus,Mdeys L 5mg/10mg Tablet,Antihistamine,Sakshit Healthcare,10.89,213,OTC
PH001,Andheri MedPlus,Czine A 5mg/60mg Tablet,Antihistamine,Vatican Life Sciences Pvt Ltd,38.26,239,OTC
PH001,Andheri MedPlus,Eolist M 5mg/10mg Tablet,Antihistamine,Biophar Lifesciences Pvt Ltd,9.9,200,OTC
PH001,Andheri MedPlus,Rhinowell DS Oral Suspension,Antihistamine,Ridhima Biocare,0.9,69,OTC
PH001,Andheri MedPlus,Exiplon 4 mg/10 mg Syrup,Antihistamine,Khandelwal Laboratories Pvt Ltd,0.89,2,OTC
PH001,Andheri MedPlus,Fenexia 120mg Tablet,Antihistamine,Solace Biotech Ltd,10.27,186,OTC
PH001,Andheri MedPlus,Lequit CS Suspension,Antihistamine,Quantum Formulations,0.7,89,OTC
PH001,Andheri MedPlus,Tzine 10mg Tablet,Antihistamine,Health Care Formulations Pvt Ltd,2.67,146,OTC
PH001,Andheri MedPlus,DavaIndia Desloratadine 5mg Tablet,Antihistamine,Davaindia Generic Pharmacy,1.97,198,OTC
PH001,Andheri MedPlus,Lemocit AM 5mg/60mg Tablet,Antihistamine,Biobrick Pharma,7.45,160,OTC
PH001,Andheri MedPlus,Monago-L Tablet,Antihistamine,Guillain Pharma Private Limited,5.98,38,OTC
PH001,Andheri MedPlus,Glimwik M 2mg/500mg Tablet,Antidiabetic,Biocube Pharma,10.21,128,Rx
PH001,Andheri MedPlus,Insu-GM (ER) Tablet,Antidiabetic,Olens Healthcare Pvt Ltd,9.62,184,Rx
PH001,Andheri MedPlus,Sitara-M 50/500 Tablet ER,Antidiabetic,Intas Pharmaceuticals Ltd,9.19,150,Rx
PH001,Andheri MedPlus,Winixia 500mg Tablet SR,Antidiabetic,Wings Biotech Ltd,2.07,41,Rx
PH001,Andheri MedPlus,Dippivi-M 50/1000 Tablet,Antidiabetic,Jubilant Life Sciences,8.68,143,Rx
PH001,Andheri MedPlus,Vogtid 0.3mg Tablet MD,Antidiabetic,Vasu Organics Pvt Ltd,9.84,248,Rx
PH001,Andheri MedPlus,Gpcon M 2mg/500mg Tablet,Antidiabetic,Catholicon Pharmaceuticals Pvt Ltd,6.07,112,Rx
PH001,Andheri MedPlus,Dailymet GP 1 Tablet SR,Antidiabetic,Prevego Healthcare & Research Private Limited,9.41,47,Rx
PH001,Andheri MedPlus,Sysvog 0.3mg Tablet,Antidiabetic,Syswin Pharmaceuticals Pvt Ltd,5.14,196,Rx
PH001,Andheri MedPlus,Glimitoss M 2mg/500mg Tablet SR,Antidiabetic,Minitoss Medicines,6.75,246,Rx
PH001,Andheri MedPlus,Amaryl 3mg Tablet,Antidiabetic,Sanofi India  Ltd,14.39,98,Rx
PH001,Andheri MedPlus,Triobimet 2 Tablet ER,Antidiabetic,Corona Remedies Pvt Ltd,19.8,207,Rx
PH001,Andheri MedPlus,Invog 0.3mg Tablet,Antidiabetic,Med Manor Organics Pvt Ltd,11.02,151,Rx
PH001,Andheri MedPlus,Olglimide 2mg Tablet,Antidiabetic,Olcare Laboratories,3.22,160,Rx
PH001,Andheri MedPlus,Voglimin-GM 1 Tablet SR,Antidiabetic,Orris Pharmaceuticals,10.5,74,Rx
PH001,Andheri MedPlus,Glimiprex 3 Tablet,Antidiabetic,Aristo Pharmaceuticals Pvt Ltd,8.96,163,Rx
PH001,Andheri MedPlus,Zoryl-M 2 Tablet PR,Antidiabetic,Intas Pharmaceuticals Ltd,16.19,83,Rx
PH001,Andheri MedPlus,Vildact 50mg Tablet,Antidiabetic,Cognitive Life Sciences Ltd,11.5,111,Rx
PH001,Andheri MedPlus,Gimi 2mg Tablet,Antidiabetic,Plenum Biotech,5.03,98,Rx
PH001,Andheri MedPlus,Glimbell M 1mg/500mg Tablet SR,Antidiabetic,Nimbles Biotech Pvt Ltd,4.92,145,Rx
PH001,Andheri MedPlus,Tenlifast M 1000mg/20mg Tablet,Antidiabetic,Invision Medi Sciences Pvt Ltd,15.98,81,Rx
PH001,Andheri MedPlus,Glorimet Forte G1 Tablet,Antidiabetic,Oaknet Healthcare Pvt Ltd,8.54,162,Rx
PH001,Andheri MedPlus,Dartmet 1gm Tablet SR,Antidiabetic,Addii Biotech Pvt Ltd,3.94,168,Rx
PH001,Andheri MedPlus,Triobimet 1mg/500mg/15mg Tablet ER,Antidiabetic,Corona Remedies Pvt Ltd,12.22,67,Rx
PH001,Andheri MedPlus,Metforise 500mg Tablet,Antidiabetic,Carise Pharmaceuticals Pvt Ltd,1.92,20,Rx
PH001,Andheri MedPlus,Zoryl MP 1 Forte Tablet SR,Antidiabetic,Intas Pharmaceuticals Ltd,10.72,247,Rx
PH001,Andheri MedPlus,Debiliptin M 500mg/20mg Tablet SR,Antidiabetic,Leeford Healthcare Ltd,13.81,134,Rx
PH001,Andheri MedPlus,Glimbite-M2 Tablet SR,Antidiabetic,Stenkem Molecules Pvt Ltd,7.02,127,Rx
PH001,Andheri MedPlus,Voglidase-M Forte Tablet SR,Antidiabetic,East West Pharma,9.9,203,Rx
PH001,Andheri MedPlus,Sugowell SR M1 Tablet,Antidiabetic,Meditouch Wellness,4.11,213,Rx
PH001,Andheri MedPlus,Pioplus 2 Tablet SR,Antidiabetic,Systopic Laboratories Pvt Ltd,5.89,237,Rx
PH001,Andheri MedPlus,Gmp 1 Tablet,Antidiabetic,Ozone Pharmaceuticals Ltd,3.82,229,Rx
PH001,Andheri MedPlus,Glimisave M 3 Tablet PR,Antidiabetic,Eris Lifesciences Ltd,11.98,181,Rx
PH001,Andheri MedPlus,Cilvoryl 1mg Tablet,Antidiabetic,Vasu Organics Pvt Ltd,4.45,26,Rx
PH001,Andheri MedPlus,Endopride PG 2mg/500mg/15mg Tablet SR,Antidiabetic,Radico Remedies,5.49,29,Rx
PH001,Andheri MedPlus,Rosca 20mg Tablet,Cardiovascular,Genix Pharma Ltd,14.86,110,Rx
PH001,Andheri MedPlus,Lotan 25mg Tablet,Cardiovascular,Taurus Laboratories Pvt Ltd,1.42,196,Rx
PH001,Andheri MedPlus,Dotstat 5mg Tablet,Cardiovascular,Three Dots Lifescience,4.74,47,Rx
PH001,Andheri MedPlus,Alvitel 80mg Tablet,Cardiovascular,Granmed Pharma,9.51,34,Rx
PH001,Andheri MedPlus,Telitoss-H 40mg/12.5mg Tablet,Cardiovascular,Novalab Healthcare Pvt Ltd,9.28,16,Rx
PH001,Andheri MedPlus,Megmator D3 10mg/1000IU Tablet,Cardiovascular,Ridhima Biocare,9.97,157,Rx
PH001,Andheri MedPlus,LR H Tablet,Cardiovascular,Zydus Cadila,7.97,116,Rx
PH001,Andheri MedPlus,Atodin 20mg Tablet,Cardiovascular,Divine Lifecare Pvt Ltd,6.16,123,Rx
PH001,Andheri MedPlus,Betarun 50mg Tablet XL,Cardiovascular,Lenimen Biotech,5.42,23,Rx
PH001,Andheri MedPlus,Acrostatin 10mg Tablet,Cardiovascular,Acron Pharmaceuticals,4.42,45,Rx
PH001,Andheri MedPlus,Roztel-H 40mg/12.5mg Tablet,Cardiovascular,Rouzel Pharma,11.3,98,Rx
PH001,Andheri MedPlus,Amlong CT Tablet,Cardiovascular,Micro Labs Ltd,7.44,115,Rx
PH001,Andheri MedPlus,Telster CT 80mg/12.5mg Tablet,Cardiovascular,Jarun Pharmaceuticals,14.6,212,Rx
PH001,Andheri MedPlus,Vistatel H 40mg/12.5mg Tablet,Cardiovascular,Kanvista Drugs Pvt Ltd,5.31,160,Rx
PH001,Andheri MedPlus,Telpiwin AM 40mg/5mg Tablet,Cardiovascular,Clipwin Pharmaceuticals,8.32,127,Rx
PH001,Andheri MedPlus,Riocard 100mg Tablet ER,Cardiovascular,Radius Drug Pvt Ltd,9.93,233,Rx
PH001,Andheri MedPlus,Losapot 50 Tablet,Cardiovascular,Q Check Speciality Care,5.65,57,Rx
PH001,Andheri MedPlus,Bilopine 5 Tablet,Cardiovascular,Bi-Cure Remedies,3.41,173,Rx
PH001,Andheri MedPlus,Ramveda-H 2.5mg/12.5mg Tablet,Cardiovascular,Vidakem Lifesciences Pvt Ltd,5.55,31,Rx
PH001,Andheri MedPlus,Indap AT 50 mg/1.25 mg Tablet,Cardiovascular,Orchid Chemicals & Pharmaceuticals Ltd,5.19,150,Rx
PH001,Andheri MedPlus,Losateb H 50mg/12.5mg Tablet,Cardiovascular,Nukind Healthcare Pvt Ltd,7.48,154,Rx
PH001,Andheri MedPlus,Lostan 50 Tablet,Cardiovascular,Auspharma Private Limited,4.25,217,Rx
PH001,Andheri MedPlus,Metwin XL 50mg Tablet,Cardiovascular,Concur Pharmaceuticals Pvt.Ltd,6.47,160,Rx
PH001,Andheri MedPlus,Metosol 25 Tablet,Cardiovascular,Saaol Pharma Pvt Ltd     ,23.35,245,Rx
PH001,Andheri MedPlus,Hartek 5 Tablet,Cardiovascular,Brilliant Lifesciences Pvt Ltd,16.63,220,Rx
PH001,Andheri MedPlus,Conivas 10mg Tablet,Cardiovascular,Novalab Healthcare Pvt Ltd,5.61,25,Rx
PH001,Andheri MedPlus,Telsicap H 40mg/12.5mg Tablet,Cardiovascular,Biofield Pharma,9.92,152,Rx
PH001,Andheri MedPlus,Metordil-XL 50 Tablet,Cardiovascular,Prevego Healthcare & Research Private Limited,6.66,59,Rx
PH001,Andheri MedPlus,Ramivaz 5mg Tablet,Cardiovascular,Edinburgh Pharmaceuticals,7.61,56,Rx
PH001,Andheri MedPlus,Atorma 20mg Tablet,Cardiovascular,MPC Pharmaceuticals,11.1,19,Rx
PH001,Andheri MedPlus,Thanktel AM Tablet,Cardiovascular,Nexina Life Sciences Pvt Ltd,9.56,237,Rx
PH001,Andheri MedPlus,Rami Race 5 Tablet,Cardiovascular,Knoll Pharmaceuticals Ltd,10.69,203,Rx
PH001,Andheri MedPlus,Lodens 20mg Tablet,Cardiovascular,Anthem Biopharma,9.09,142,Rx
PH001,Andheri MedPlus,Atorin 40mg Tablet,Cardiovascular,Medley Pharmaceuticals,20.85,65,Rx
PH001,Andheri MedPlus,Dpine AT 5mg/50mg Tablet,Cardiovascular,Dr. Edwin Lab,5.55,190,Rx
PH001,Andheri MedPlus,Atorfirst 10mg Tablet,Cardiovascular,Sinsan Pharmaceuticals,7.82,152,Rx
PH001,Andheri MedPlus,Telsaan 20mg Tablet,Cardiovascular,Saan Labs,3.48,189,Rx
PH001,Andheri MedPlus,Mepra 40mg Injection,Gastrointestinal,Catholicon Pharmaceuticals Pvt Ltd,92.31,57,Rx
PH001,Andheri MedPlus,Spntop-DSR Capsule,Gastrointestinal,Spencure Biotech Pvt. Ltd.,8.81,48,OTC
PH001,Andheri MedPlus,Nosotron 8 Tablet MD,Gastrointestinal,Superlative Healthcare,7.18,69,OTC
PH001,Andheri MedPlus,Sudhapan-DSR Capsule,Gastrointestinal,Sudha Lifesciences Pvt Ltd,11.51,234,OTC
PH001,Andheri MedPlus,Patrova-D 10mg/40mg Tablet,Gastrointestinal,Scott Edil Pharmacia Ltd,7.92,224,OTC
PH001,Andheri MedPlus,Ossum 20mg Capsule,Gastrointestinal,Zenacts Pharma,4.98,59,OTC
PH001,Andheri MedPlus,Pansoft 40mg Tablet,Gastrointestinal,Mint Life Sciences Pvt Ltd,5.44,4,OTC
PH001,Andheri MedPlus,Emistal 2mg Injection,Gastrointestinal,Anthus Pharmaceuticals Pvt Ltd,6.23,5,Rx
PH001,Andheri MedPlus,Rabizer-D 10mg/20mg Tablet,Gastrointestinal,Axter Pharmaceuticals Pvt Ltd,4.56,115,OTC
PH001,Andheri MedPlus,Instarab D 30mg/20mg Capsule SR,Gastrointestinal,Curewin Hylico Pharma Pvt Ltd,5.01,98,OTC
PH001,Andheri MedPlus,Rabewun D 30mg/20mg Capsule,Gastrointestinal,Wunderz Pharmaceuticals,6.14,51,OTC
PH001,Andheri MedPlus,Panton-DSR Capsule,Gastrointestinal,Fantabulous Pharma,7.47,113,OTC
PH001,Andheri MedPlus,Ganaton Total Capsule SR,Gastrointestinal,Abbott,39.58,157,OTC
PH001,Andheri MedPlus,Munipra D 30mg/40mg Capsule SR,Gastrointestinal,Medimind Drugs and Chemicals,7.05,119,OTC
PH001,Andheri MedPlus,Okrab DSR Capsule,Gastrointestinal,Insta Care Lifescience,10.16,91,OTC
PH001,Andheri MedPlus,Rabe D 10 mg/20 mg Tablet,Gastrointestinal,Medial Pharma Ltd,7.17,89,OTC
PH001,Andheri MedPlus,Blazex D 10mg/40mg Tablet,Gastrointestinal,Metamorf Lifesciences,6.34,116,OTC
PH001,Andheri MedPlus,Opraz 20mg Capsule,Gastrointestinal,Biosys Medisciences,3.68,126,OTC
PH001,Andheri MedPlus,Omiast 20mg Capsule,Gastrointestinal,Carenix Bio Pharma Pvt. Ltd.,3.44,244,OTC
PH001,Andheri MedPlus,Scom 20mg Capsule,Gastrointestinal,Pharma Drugs & Chemicals,1.97,121,OTC
PH001,Andheri MedPlus,Omzaris-D Capsule,Gastrointestinal,Azaris Pharma,5.63,33,OTC
PH001,Andheri MedPlus,Tripanta D 30mg/40mg Capsule SR,Gastrointestinal,Phycrus Remedies,8.54,117,OTC
PH001,Andheri MedPlus,Drabe D 30mg/20mg Capsule SR,Gastrointestinal,Dr. D Pharma,9.71,231,OTC
PH001,Andheri MedPlus,Rappin 20mg Tablet,Gastrointestinal,Alred Health Care Ltd,7.37,128,OTC
PH001,Andheri MedPlus,Pantokem 40 Tablet,Gastrointestinal,Prekem Pharmaceuticals Pvt Ltd,7.4,230,OTC
PH001,Andheri MedPlus,Rupant 40mg Injection,Gastrointestinal,Anuveda Life Sciences Pvt Ltd,49.81,68,Rx
PH001,Andheri MedPlus,Zolita 40mg Tablet,Gastrointestinal,Astronia Life Sciences,5.37,246,OTC
PH001,Andheri MedPlus,Zopen 40mg Tablet,Gastrointestinal,Kentreck Laboratories Pvt Ltd,4.92,153,OTC
PH001,Andheri MedPlus,Euto D 10mg/40mg Tablet,Gastrointestinal,Zedip Formulations,4.45,228,OTC
PH001,Andheri MedPlus,Rabed 20mg Tablet,Gastrointestinal,Jasco Labs Pvt Ltd,4.28,28,OTC
PH001,Andheri MedPlus,Rabrocid-DSR Capsule,Gastrointestinal,Biotric Healthcare Pvt Ltd,9.29,68,OTC
PH001,Andheri MedPlus,Supraz 40mg Injection,Gastrointestinal,Swizing Biosciences,129.3,93,Rx
PH001,Andheri MedPlus,Temaz 20mg Capsule,Gastrointestinal,Alpic Remedies Ltd,4.34,243,OTC
PH001,Andheri MedPlus,Dialoz D 10mg/20mg Capsule SR,Gastrointestinal,Dial Pharmaceuticals Pvt Ltd,6.61,143,OTC
PH001,Andheri MedPlus,Letop D 30mg/40mg Capsule SR,Gastrointestinal,Lepidus Pharma India Pvt Ltd,8.32,175,OTC
PH001,Andheri MedPlus,Cotrip-H Tablet,Neurological,Consern Pharma Limited,3.97,99,Rx
PH001,Andheri MedPlus,Anxiclo 0.5mg Tablet MD,Neurological,Apostle Remedies,1.89,221,Rx
PH001,Andheri MedPlus,Lonazit Plus 0.5mg/10mg Tablet,Neurological,Progressive Life Care,9.56,249,Rx
PH001,Andheri MedPlus,Gabapoint NT 400mg/10mg Tablet,Neurological,Erzek Pharmaceuticals Pvt Ltd,28.46,68,Rx
PH001,Andheri MedPlus,Latilin 10mg Tablet,Neurological,La Pharmaceuticals,1.64,179,Rx
PH001,Andheri MedPlus,Zolorest-FX Tablet,Neurological,Focus Healthcare,6.76,249,Rx
PH001,Andheri MedPlus,Clonarey 2mg Tablet,Neurological,Wallrey Pharmaceuticals,6.69,95,Rx
PH001,Andheri MedPlus,Ecitelo 5mg Tablet,Neurological,Mankind Pharma Ltd,5.65,68,Rx
PH001,Andheri MedPlus,Yescam 10mg Tablet,Neurological,Exelife Biotech Pvt Ltd,8.57,15,Rx
PH001,Andheri MedPlus,Gabagest NT 400mg/10mg Tablet,Neurological,Medmom Pharmaceuticals LLP,18.17,246,Rx
PH001,Andheri MedPlus,Prebag-NT Tablet,Neurological,AAR ESS Remedies Pvt Ltd,32.95,219,Rx
PH001,Andheri MedPlus,Nexito LS Tablet,Neurological,Sun Pharmaceutical Industries Ltd,15.38,218,Rx
PH001,Andheri MedPlus,Zepam 0.5mg Tablet MD,Neurological,Psycormedies,3.45,139,Rx
PH001,Andheri MedPlus,Depnuf 40mg Capsule,Neurological,Neuracle Lifesciences Pvt Ltd,5.08,123,Rx
PH001,Andheri MedPlus,ONA 0.25mg Tablet MD,Neurological,D D Pharmaceuticals,1.35,188,Rx
